"","SUMLEV","STATE","COUNTY","TRACT","PUMA","CenTrN","GEOID10","AFFGEOID10","CLASS","SEXLEVEL","SEX","DIS","CDF","Range0","Range1"
"193",140,24,3,"730603",1203,65,24003730603,"1400000US24003730603",0,"Total",3107,0,0,0,0
"194",140,24,3,"730603",1203,65,24003730603,"1400000US24003730603",1,"Male",1590,0.511747666559382,0.511747666559382,0,0.511748154811716
"195",140,24,3,"730603",1203,65,24003730603,"1400000US24003730603",2,"Female",1517,0.488252333440618,1,0.511748154811716,1
"196",140,24,3,"730604",1203,66,24003730604,"1400000US24003730604",0,"Total",6748,0,0,0,0
"197",140,24,3,"730604",1203,66,24003730604,"1400000US24003730604",1,"Male",3273,0.485032602252519,0.485032602252519,0,0.485033117219917
"198",140,24,3,"730604",1203,66,24003730604,"1400000US24003730604",2,"Female",3475,0.514967397747481,1,0.485033117219917,1
"199",140,24,3,"730700",1203,67,24003730700,"1400000US24003730700",0,"Total",6978,0,0,0,0
"200",140,24,3,"730700",1203,67,24003730700,"1400000US24003730700",1,"Male",3368,0.482659787904844,0.482659787904844,0,0.482660305245056
"201",140,24,3,"730700",1203,67,24003730700,"1400000US24003730700",2,"Female",3610,0.517340212095156,1,0.482660305245056,1
"202",140,24,3,"730800",1203,68,24003730800,"1400000US24003730800",0,"Total",2456,0,0,0,0
"203",140,24,3,"730800",1203,68,24003730800,"1400000US24003730800",1,"Male",1172,0.477198697068404,0.477198697068404,0,0.477199219869707
"204",140,24,3,"730800",1203,68,24003730800,"1400000US24003730800",2,"Female",1284,0.522801302931596,1,0.477199219869707,1
"205",140,24,3,"730901",1203,69,24003730901,"1400000US24003730901",0,"Total",2608,0,0,0,0
"206",140,24,3,"730901",1203,69,24003730901,"1400000US24003730901",1,"Male",1291,0.495015337423313,0.495015337423313,0,0.495015842407975
"207",140,24,3,"730901",1203,69,24003730901,"1400000US24003730901",2,"Female",1317,0.504984662576687,1,0.495015842407975,1
"208",140,24,3,"730902",1203,70,24003730902,"1400000US24003730902",0,"Total",4075,0,0,0,0
"209",140,24,3,"730902",1203,70,24003730902,"1400000US24003730902",1,"Male",2003,0.491533742331288,0.491533742331288,0,0.491534250797546
"210",140,24,3,"730902",1203,70,24003730902,"1400000US24003730902",2,"Female",2072,0.508466257668712,1,0.491534250797546,1
"211",140,24,3,"731002",1203,71,24003731002,"1400000US24003731002",0,"Total",3234,0,0,0,0
"212",140,24,3,"731002",1203,71,24003731002,"1400000US24003731002",1,"Male",1512,0.467532467532468,0.467532467532467,0,0.467533
"213",140,24,3,"731002",1203,71,24003731002,"1400000US24003731002",2,"Female",1722,0.532467532467532,1,0.467533,1
"214",140,24,3,"731003",1203,72,24003731003,"1400000US24003731003",0,"Total",4387,0,0,0,0
"215",140,24,3,"731003",1203,72,24003731003,"1400000US24003731003",1,"Male",2202,0.501937542739913,0.501937542739913,0,0.501938040802371
"216",140,24,3,"731003",1203,72,24003731003,"1400000US24003731003",2,"Female",2185,0.498062457260087,1,0.501938040802371,1
"217",140,24,3,"731004",1203,73,24003731004,"1400000US24003731004",0,"Total",4258,0,0,0,0
"218",140,24,3,"731004",1203,73,24003731004,"1400000US24003731004",1,"Male",2043,0.479802724283701,0.479802724283701,0,0.479803244480977
"219",140,24,3,"731004",1203,73,24003731004,"1400000US24003731004",2,"Female",2215,0.520197275716299,1,0.479803244480977,1
"220",140,24,3,"731102",1203,74,24003731102,"1400000US24003731102",0,"Total",7750,0,0,0,0
"221",140,24,3,"731102",1203,74,24003731102,"1400000US24003731102",1,"Male",3740,0.48258064516129,0.48258064516129,0,0.482581162580645
"222",140,24,3,"731102",1203,74,24003731102,"1400000US24003731102",2,"Female",4010,0.51741935483871,1,0.482581162580645,1
"223",140,24,3,"731103",1203,75,24003731103,"1400000US24003731103",0,"Total",5422,0,0,0,0
"224",140,24,3,"731103",1203,75,24003731103,"1400000US24003731103",1,"Male",2629,0.484876429361859,0.484876429361859,0,0.48487694448543
"225",140,24,3,"731103",1203,75,24003731103,"1400000US24003731103",2,"Female",2793,0.515123570638141,1,0.48487694448543,1
"226",140,24,3,"731104",1203,76,24003731104,"1400000US24003731104",0,"Total",4097,0,0,0,0
