"","CensusTrct","INCOMECLASS","CLASS","INC","INC_R","DIS","CDF","Range0","Range1"
"2744",24013508101,"$200,000 or more",6,340,340,0.0439276485788114,1,0.956072395348837,1
"2745",24013508102,"Total",0,8970,7651,0,0,0,0
"2746",24013508102,"$1 under $25,000",1,2470,2125,0.277741471703045,0.277741471703045,0,0.277741666710234
"2747",24013508102,"$25,000 under $50,000",2,1750,1492,0.195007188602797,0.472748660305842,0.277741666710234,0.472748815448961
"2748",24013508102,"$50,000 under $75,000",3,1400,1187,0.155143118546595,0.627891778852438,0.472748815448961,0.62789189648412
"2749",24013508102,"$75,000 under $100,000",4,1040,900,0.117631682133054,0.745523460985492,0.62789189648412,0.745523671546203
"2750",24013508102,"$100,000 under $200,000",5,1870,1611,0.210560711018168,0.95608417200366,0.745523671546203,0.956084215919488
"2751",24013508102,"$200,000 or more",6,440,336,0.0439158279963403,1,0.956084215919488,1
"2752",24013508200,"Total",0,32140,10134,0,0,0,0
"2753",24013508200,"$1 under $25,000",1,9260,2918,0.287941582790606,0.287941582790606,0,0.287941780935465
"2754",24013508200,"$25,000 under $50,000",2,6320,2008,0.198144858890862,0.486086441681468,0.287941780935465,0.486086588711269
"2755",24013508200,"$50,000 under $75,000",3,4500,1490,0.147029800671008,0.633116242352477,0.486086588711269,0.633116356127886
"2756",24013508200,"$75,000 under $100,000",4,3550,1153,0.113775409512532,0.746891651865009,0.633116356127886,0.746891859680284
"2757",24013508200,"$100,000 under $200,000",5,6760,2106,0.207815275310835,0.954706927175844,0.746891859680284,0.954706972468917
"2758",24013508200,"$200,000 or more",6,1750,459,0.0452930728241563,1,0.954706972468917,1
"2759",24013509001,"Total",0,39720,14748,0,0,0,0
"2760",24013509001,"$1 under $25,000",1,10900,4415,0.299362625440738,0.299362625440738,0,0.299362827637646
"2761",24013509001,"$25,000 under $50,000",2,7120,2982,0.20219690805533,0.501559533496067,0.299362827637646,0.501559670463792
"2762",24013509001,"$50,000 under $75,000",3,5210,2020,0.136967724437212,0.638527257933279,0.501559670463792,0.638527367236235
"2763",24013509001,"$75,000 under $100,000",4,4400,1612,0.109302956333062,0.747830214266341,0.638527367236235,0.747830419582316
"2764",24013509001,"$100,000 under $200,000",5,9410,3028,0.205315975047464,0.953146189313805,0.747830419582316,0.953146236167616
"2765",24013509001,"$200,000 or more",6,2680,691,0.0468538106861947,1,0.953146236167616,1
"2766",24013509002,"Total",0,59190,14509,0,0,0,0
"2767",24013509002,"$1 under $25,000",1,16110,3873,0.266937762767937,0.266937762767937,0,0.266937917706251
"2768",24013509002,"$25,000 under $50,000",2,10090,2248,0.154938314149838,0.421876076917775,0.266937917706251,0.421876196912261
"2769",24013509002,"$50,000 under $75,000",3,7440,1741,0.119994486180991,0.541870563098766,0.421876196912261,0.541870666689641
"2770",24013509002,"$75,000 under $100,000",4,6320,1503,0.10359087462954,0.645461437728307,0.541870666689641,0.645461699359019
"2771",24013509002,"$100,000 under $200,000",5,14440,3796,0.26163071197188,0.907092149700186,0.645461699359019,0.907092242608036
"2772",24013509002,"$200,000 or more",6,4790,1348,0.0929078502998139,1,0.907092242608036,1
"2773",24013510000,"Total",0,8920,1872,0,0,0,0
"2774",24013510000,"$1 under $25,000",1,2780,594,0.317307692307692,0.317307692307692,0,0.317307920940171
"2775",24013510000,"$25,000 under $50,000",2,2040,428,0.228632478632479,0.545940170940171,0.317307920940171,0.545940328525641
"2776",24013510000,"$50,000 under $75,000",3,1430,295,0.15758547008547,0.703525641025641,0.545940328525641,0.703525759081197
"2777",24013510000,"$75,000 under $100,000",4,1050,221,0.118055555555556,0.821581196581197,0.703525759081197,0.821581348290598
"2778",24013510000,"$100,000 under $200,000",5,1400,284,0.151709401709402,0.973290598290598,0.821581348290598,0.973290625
"2779",24013510000,"$200,000 or more",6,220,50,0.0267094017094017,1,0.973290625,1
"2780",24013511000,"Total",0,33590,3053,0,0,0,0
"2781",24013511000,"$1 under $25,000",1,9770,828,0.271208647232231,0.271208647232231,0,0.271208857844743
"2782",24013511000,"$25,000 under $50,000",2,6800,643,0.210612512283,0.481821159515231,0.271208857844743,0.481821301670488
"2783",24013511000,"$50,000 under $75,000",3,4840,434,0.14215525712414,0.623976416639371,0.481821301670488,0.623976533245988
"2784",24013511000,"$75,000 under $100,000",4,3830,356,0.116606616442843,0.740583033082214,0.623976533245988,0.740583246642647
"2785",24013511000,"$100,000 under $200,000",5,6810,652,0.213560432361612,0.954143465443826,0.740583246642647,0.95414351130036
"2786",24013511000,"$200,000 or more",6,1540,140,0.0458565345561743,1,0.95414351130036,1
"2787",24013512000,"Total",0,7560,2485,0,0,0,0
"2788",24013512000,"$1 under $25,000",1,2340,751,0.302213279678068,0.302213279678068,0,0.302213492555332
