"","SUMLEV","STATE","COUNTY","TRACT","PUMA","CenTrN","GEOID10","AFFGEOID10","CLASS","HHTLEVEL","HHT","DIS","CDF","Range0","Range1"
"181",140,24,1,2200,100,23,"24001002200","1400000US24001002200",4,"NonfMalone",206,0.127633209417596,0.794919454770756,0.667286372986369,0.794919480793061
"182",140,24,1,2200,100,23,"24001002200","1400000US24001002200",5,"NonfMNalone",42,0.0260223048327138,0.82094175960347,0.794919480793061,0.820941926270136
"183",140,24,1,2200,100,23,"24001002200","1400000US24001002200",6,"NonfFalone",269,0.166666666666667,0.987608426270136,0.820941926270136,0.98760843866171
"184",140,24,1,2200,100,23,"24001002200","1400000US24001002200",7,"NonfFNalone",20,0.0123915737298637,1,0.98760843866171,1
"185",140,24,3,701101,1204,24,"24003701101","1400000US24003701101",0,"Total",1567,0,0,0,0
"186",140,24,3,701101,1204,24,"24003701101","1400000US24003701101",1,"MarriedFamilyHH",1005,0.641352903637524,0.641352903637524,0,0.641352940012763
"187",140,24,3,701101,1204,24,"24003701101","1400000US24003701101",2,"OthMale",57,0.0363752393107849,0.677728142948309,0.641352940012763,0.677728212507977
"188",140,24,3,701101,1204,24,"24003701101","1400000US24003701101",3,"OthFemale",109,0.0695596681557115,0.74728781110402,0.677728212507977,0.747287892150606
"189",140,24,3,701101,1204,24,"24003701101","1400000US24003701101",4,"NonfMalone",127,0.0810465858328015,0.828334396936822,0.747287892150606,0.828334417358009
"190",140,24,3,701101,1204,24,"24003701101","1400000US24003701101",5,"NonfMNalone",32,0.0204211869814933,0.848755583918315,0.828334417358009,0.848755717932355
"191",140,24,3,701101,1204,24,"24003701101","1400000US24003701101",6,"NonfFalone",210,0.13401403956605,0.982769623484365,0.848755717932355,0.982769640714742
"192",140,24,3,701101,1204,24,"24003701101","1400000US24003701101",7,"NonfFNalone",27,0.017230376515635,1,0.982769640714742,1
"193",140,24,3,701102,1204,25,"24003701102","1400000US24003701102",0,"Total",2970,0,0,0,0
